District Name,School Name,School Type,Total Enrollment,Meal Program Participants,FRPM Percent (%),Expanded Learning Program,After School Education Program,Estimated Funding (USD)
Sacramento City Unified School District,Parkway Elementary,Elementary Schools (Public),449,407,0.9064587973273942,Yes,Yes,479852.99
Sacramento City Unified School District,Phoebe A. Hearst Elementary,Elementary Schools (Public),657,124,0.1887366818873668,Yes,Yes,146195.99
Sacramento City Unified School District,Pony Express Elementary,Elementary Schools (Public),370,231,0.6243243243243243,Yes,Yes,272348.99
Sacramento City Unified School District,Rosa Parks Elementary,Elementary Schools (Public),744,644,0.8655913978494624,Yes,Yes,759275.99
Sacramento City Unified School District,Sequoia Elementary,Elementary Schools (Public),439,308,0.7015945330296127,Yes,Yes,363131.99
Sacramento City Unified School District,Susan B. Anthony Elementary,Elementary Schools (Public),314,242,0.7707006369426752,Yes,Yes,285317.99
Sacramento City Unified School District,Sutterville Elementary,Elementary Schools (Public),406,148,0.3645320197044335,Yes,Yes,174491.99
Sacramento City Unified School District,Suy:u Elementary,Elementary Schools (Public),389,320,0.8226221079691517,Yes,Yes,377279.99
Sacramento City Unified School District,Tahoe Elementary,Elementary Schools (Public),302,194,0.6423841059602649,Yes,Yes,228725.99
Sacramento City Unified School District,Theodore Judah Elementary,Elementary Schools (Public),447,157,0.3512304250559284,Yes,Yes,185102.99
Sacramento City Unified School District,Washington Elementary,Elementary Schools (Public),319,170,0.5329153605015674,Yes,Yes,200429.99
Sacramento City Unified School District,William Land Elementary,Elementary Schools (Public),331,181,0.5468277945619335,Yes,Yes,213398.99
Sacramento City Unified School District,Woodbine Elementary,Elementary Schools (Public),271,251,0.9261992619926199,Yes,Yes,295928.99
Twin Rivers Unified School District,Regency Park Elementary,Elementary Schools (Public),771,533,.6913,Yes,Yes,628407.0
Twin Rivers Unified School District,Del Paso Heights Elementary,Elementary Schools (Public),469,434,.9254,Yes,Yes,511686.0
Twin Rivers Unified School District,Fairbanks Elementary,Elementary Schools (Public),369,342,.9268,Yes,Yes,403218.0
Twin Rivers Unified School District,Garden Valley Elementary,Elementary Schools (Public),341,299,.8768,Yes,Yes,352521.0
Twin Rivers Unified School District,D. W. Babcock Elementary,Elementary Schools (Public),367,332,.9046,Yes,Yes,391428.0
Twin Rivers Unified School District,Hagginwood Elementary,Elementary Schools (Public),359,335,.9331,Yes,Yes,394965.0
Twin Rivers Unified School District,Hazel Strauch Elementary,Elementary Schools (Public),590,501,.8492,Yes,Yes,590679.0
Twin Rivers Unified School District,Michael J. Castori Elementary,Elementary Schools (Public),558,522,.9355,Yes,Yes,615438.0
Twin Rivers Unified School District,Las Palmas Elementary,Elementary Schools (Public),1026,935,.9113,Yes,Yes,1102365.0
Twin Rivers Unified School District,Northwood Elementary,Elementary Schools (Public),428,402,.9393,Yes,Yes,473958.0
Twin Rivers Unified School District,Woodlake Elementary,Elementary Schools (Public),329,305,.9271,Yes,Yes,359595.0
Twin Rivers Unified School District,Warren A. Allison Elementary,Elementary Schools (Public),389,353,.9075,Yes,Yes,416187.0
Twin Rivers Unified School District,Dry Creek Elementary,Elementary Schools (Public),625,523,.8368,Yes,Yes,616617.0
Twin Rivers Unified School District,Frontier Elementary,Elementary Schools (Public),374,314,.8396,Yes,Yes,370206.0
Twin Rivers Unified School District,Hillsdale Elementary,Elementary Schools (Public),236,203,.8602,Yes,Yes,239337.0
Twin Rivers Unified School District,Kohler Elementary,Elementary Schools (Public),374,328,.877,Yes,Yes,386712.0
Twin Rivers Unified School District,Madison Elementary,Elementary Schools (Public),745,691,.9275,Yes,Yes,814689.0
Twin Rivers Unified School District,Orchard Elementary,Elementary Schools (Public),320,238,.7438,Yes,Yes,280602.0
Twin Rivers Unified School District,Pioneer Elementary,Elementary Schools (Public),643,559,.8694,Yes,Yes,659061.0
Twin Rivers Unified School District,Sierra View Elementary,Elementary Schools (Public),284,249,.8768,Yes,Yes,293571.0
Twin Rivers Unified School District,Village Elementary,Elementary Schools (Public),456,409,.8969,Yes,Yes,482211.0
Twin Rivers Unified School District,Westside Elementary,Elementary Schools (Public),376,280,.7447,Yes,Yes,330120.0
Twin Rivers Unified School District,Woodridge Elementary,Elementary Schools (Public),801,765,.9551,Yes,Yes,901935.0
Folsom Cordova Unified School District,Cordova Meadows Elementary,Elementary Schools (Public),341,301,88.26979472140762,Yes,Yes,354878.99999999994
Folsom Cordova Unified School District,Cordova Villa Elementary,Elementary Schools (Public),440,404,91.81818181818183,Yes,Yes,476315.9999999999
Folsom Cordova Unified School District,Peter J. Shields Elementary,Elementary Schools (Public),319,227,71.15987460815047,Yes,Yes,267632.99999999994
Folsom Cordova Unified School District,Rancho Cordova Elementary,Elementary Schools (Public),402,330,82.08955223880598,Yes,Yes,389069.99999999994
Folsom Cordova Unified School District,White Rock Elementary,Elementary Schools (Public),372,342,91.93548387096774,Yes,Yes,403217.99999999994
Folsom Cordova Unified School District,Williamson Elementary,Elementary Schools (Public),460,379,82.3913043478261,Yes,Yes,446840.99999999994
